days,x,y,z,popval,m1,m2,m3,m4
1,0,0,0,1,0.829873441,0.829873441,0.829873441,0.829873441
1,0,0,1,1,0.866972946,0.866972946,0.866972946,0.866972946
1,0,0,2,1,0.861078317,0.861078317,0.861078317,0.861078317
1,0,0,3,1,0.886680006,0.886680006,0.886680006,0.886680006
1,0,1,0,1,0.808170903,0.808170903,0.808170903,0.808170903
1,0,1,1,1,0.820453466,0.820453466,0.820453466,0.820453466
1,0,1,2,1,0.836634452,0.836634452,0.836634452,0.836634452
1,0,1,3,1,0.842669068,0.842669068,0.842669068,0.842669068
1,0,2,0,1,0.810956285,0.810956285,0.810956285,0.810956285
1,0,2,1,1,0.844639897,0.844639897,0.844639897,0.844639897
1,0,2,2,1,0.858890753,0.858890753,0.858890753,0.858890753
1,0,2,3,1,0.815378034,0.815378034,0.815378034,0.815378034
1,0,3,0,1,0.838209559,0.838209559,0.838209559,0.838209559
1,0,3,1,1,0.825558172,0.825558172,0.825558172,0.825558172
1,0,3,2,1,0.898130142,0.898130142,0.898130142,0.898130142
1,0,3,3,1,0.883035583,0.883035583,0.883035583,0.883035583
1,0,4,0,1,0.85802759,0.85802759,0.85802759,0.85802759
1,0,4,1,1,0.871209833,0.871209833,0.871209833,0.871209833
1,0,4,2,1,0.855146027,0.855146027,0.855146027,0.855146027
1,0,4,3,1,0.855949335,0.855949335,0.855949335,0.855949335
1,0,5,0,1,0.882636511,0.882636511,0.882636511,0.882636511
1,0,5,1,1,0.880983666,0.880983666,0.880983666,0.880983666
1,0,5,2,1,0.824052774,0.824052774,0.824052774,0.824052774
1,0,5,3,1,0.817246227,0.817246227,0.817246227,0.817246227
1,0,6,0,1,0.858245475,0.858245475,0.858245475,0.858245475
1,0,6,1,1,0.819405438,0.819405438,0.819405438,0.819405438
1,0,6,2,1,0.874767947,0.874767947,0.874767947,0.874767947
1,0,6,3,1,0.86383125,0.86383125,0.86383125,0.86383125
1,0,7,0,1,0.853880897,0.853880897,0.853880897,0.853880897
1,0,7,1,1,0.888870037,0.888870037,0.888870037,0.888870037
1,0,7,2,1,0.821914191,0.821914191,0.821914191,0.821914191
1,0,7,3,1,0.883695022,0.883695022,0.883695022,0.883695022
1,1,0,0,1,0.806633342,0.806633342,0.806633342,0.806633342
1,1,0,1,1,0.866903952,0.866903952,0.866903952,0.866903952
1,1,0,2,1,0.841638261,0.841638261,0.841638261,0.841638261
1,1,0,3,1,0.847257913,0.847257913,0.847257913,0.847257913
1,1,1,0,1,0.832510855,0.832510855,0.832510855,0.832510855
1,1,1,1,1,0.840624291,0.840624291,0.840624291,0.840624291
1,1,1,2,1,0.873993662,0.873993662,0.873993662,0.873993662
1,1,1,3,1,0.89220675,0.89220675,0.89220675,0.89220675
1,1,2,0,1,0.878966902,0.878966902,0.878966902,0.878966902
1,1,2,1,1,0.848029261,0.848029261,0.848029261,0.848029261
1,1,2,2,1,0.866379142,0.866379142,0.866379142,0.866379142
1,1,2,3,1,0.855025627,0.855025627,0.855025627,0.855025627
1,1,3,0,1,0.89411177,0.89411177,0.89411177,0.89411177
1,1,3,1,1,0.810085969,0.810085969,0.810085969,0.810085969
1,1,3,2,1,0.88619346,0.88619346,0.88619346,0.88619346
1,1,3,3,1,0.841959209,0.841959209,0.841959209,0.841959209
1,1,4,0,1,0.840820971,0.840820971,0.840820971,0.840820971
1,1,4,1,1,0.847948519,0.847948519,0.847948519,0.847948519
1,1,4,2,1,0.840478722,0.840478722,0.840478722,0.840478722
1,1,4,3,1,0.829895754,0.829895754,0.829895754,0.829895754
1,1,5,0,1,0.878600281,0.878600281,0.878600281,0.878600281
1,1,5,1,1,0.820687391,0.820687391,0.820687391,0.820687391
1,1,5,2,1,0.843722333,0.843722333,0.843722333,0.843722333
1,1,5,3,1,0.863070596,0.863070596,0.863070596,0.863070596
1,1,6,0,1,0.804802422,0.804802422,0.804802422,0.804802422
1,1,6,1,1,0.874383056,0.874383056,0.874383056,0.874383056
1,1,6,2,1,0.856131591,0.856131591,0.856131591,0.856131591
1,1,6,3,1,0.8440895,0.8440895,0.8440895,0.8440895
1,1,7,0,1,0.891372633,0.891372633,0.891372633,0.891372633
1,1,7,1,1,0.834632058,0.834632058,0.834632058,0.834632058
1,1,7,2,1,0.84870397,0.84870397,0.84870397,0.84870397
1,1,7,3,1,0.850187177,0.850187177,0.850187177,0.850187177
1,2,0,0,1,0.89664527,0.89664527,0.89664527,0.89664527
1,2,0,1,1,0.899341703,0.899341703,0.899341703,0.899341703
1,2,0,2,1,0.807671993,0.807671993,0.807671993,0.807671993
1,2,0,3,1,0.856892061,0.856892061,0.856892061,0.856892061
1,2,1,0,1,0.888320638,0.888320638,0.888320638,0.888320638
1,2,1,1,1,0.875097882,0.875097882,0.875097882,0.875097882
1,2,1,2,1,0.849545682,0.849545682,0.849545682,0.849545682
1,2,1,3,1,0.811864264,0.811864264,0.811864264,0.811864264
1,2,2,0,1,0.847017522,0.847017522,0.847017522,0.847017522
1,2,2,1,1,0.804833604,0.804833604,0.804833604,0.804833604
1,2,2,2,1,0.890029,0.890029,0.890029,0.890029
1,2,2,3,1,0.899719867,0.899719867,0.899719867,0.899719867
1,2,3,0,1,0.894510839,0.894510839,0.894510839,0.894510839
1,2,3,1,1,0.850723755,0.850723755,0.850723755,0.850723755
1,2,3,2,1,0.852967562,0.852967562,0.852967562,0.852967562
1,2,3,3,1,0.820070506,0.820070506,0.820070506,0.820070506
1,2,4,0,1,0.866929349,0.866929349,0.866929349,0.866929349
1,2,4,1,1,0.870874435,0.870874435,0.870874435,0.870874435
1,2,4,2,1,0.839973005,0.839973005,0.839973005,0.839973005
1,2,4,3,1,0.856521135,0.856521135,0.856521135,0.856521135
1,2,5,0,1,0.859915125,0.859915125,0.859915125,0.859915125
1,2,5,1,1,0.829066974,0.829066974,0.829066974,0.829066974
1,2,5,2,1,0.879160123,0.879160123,0.879160123,0.879160123
1,2,5,3,1,0.84335912,0.84335912,0.84335912,0.84335912
1,2,6,0,1,0.843555592,0.843555592,0.843555592,0.843555592
1,2,6,1,1,0.885114322,0.885114322,0.885114322,0.885114322
1,2,6,2,1,0.849778454,0.849778454,0.849778454,0.849778454
1,2,6,3,1,0.844898313,0.844898313,0.844898313,0.844898313
1,2,7,0,1,0.816471829,0.816471829,0.816471829,0.816471829
1,2,7,1,1,0.87337007,0.87337007,0.87337007,0.87337007
1,2,7,2,1,0.889688353,0.889688353,0.889688353,0.889688353
1,2,7,3,1,0.830990372,0.830990372,0.830990372,0.830990372
1,3,0,0,1,0.816098472,0.816098472,0.816098472,0.816098472
1,3,0,1,1,0.885334712,0.885334712,0.885334712,0.885334712
1,3,0,2,1,0.871516972,0.871516972,0.871516972,0.871516972
1,3,0,3,1,0.834054938,0.834054938,0.834054938,0.834054938
1,3,1,0,1,0.858203515,0.858203515,0.858203515,0.858203515
1,3,1,1,1,0.861132045,0.861132045,0.861132045,0.861132045
1,3,1,2,1,0.867692295,0.867692295,0.867692295,0.867692295
1,3,1,3,1,0.826855591,0.826855591,0.826855591,0.826855591
1,3,2,0,1,0.879019181,0.879019181,0.879019181,0.879019181
1,3,2,1,1,0.879680261,0.879680261,0.879680261,0.879680261
1,3,2,2,1,0.842022379,0.842022379,0.842022379,0.842022379
1,3,2,3,1,0.803263466,0.803263466,0.803263466,0.803263466
1,3,3,0,1,0.843361427,0.843361427,0.843361427,0.843361427
1,3,3,1,1,0.824689509,0.824689509,0.824689509,0.824689509
1,3,3,2,1,0.871339862,0.871339862,0.871339862,0.871339862
1,3,3,3,1,0.865801995,0.865801995,0.865801995,0.865801995
1,3,4,0,1,0.895004918,0.895004918,0.895004918,0.895004918
1,3,4,1,1,0.835308675,0.835308675,0.835308675,0.835308675
1,3,4,2,1,0.882331973,0.882331973,0.882331973,0.882331973
1,3,4,3,1,0.823320075,0.823320075,0.823320075,0.823320075
1,3,5,0,1,0.854052785,0.854052785,0.854052785,0.854052785
1,3,5,1,1,0.88406674,0.88406674,0.88406674,0.88406674
1,3,5,2,1,0.838768461,0.838768461,0.838768461,0.838768461
1,3,5,3,1,0.831098089,0.831098089,0.831098089,0.831098089
1,3,6,0,1,0.873625909,0.873625909,0.873625909,0.873625909
1,3,6,1,1,0.879532827,0.879532827,0.879532827,0.879532827
1,3,6,2,1,0.888923912,0.888923912,0.888923912,0.888923912
1,3,6,3,1,0.873197335,0.873197335,0.873197335,0.873197335
1,3,7,0,1,0.810418515,0.810418515,0.810418515,0.810418515
1,3,7,1,1,0.881081944,0.881081944,0.881081944,0.881081944
1,3,7,2,1,0.871620514,0.871620514,0.871620514,0.871620514
1,3,7,3,1,0.897617313,0.897617313,0.897617313,0.897617313
1,4,0,0,1,0.813567125,0.813567125,0.813567125,0.813567125
1,4,0,1,1,0.806695214,0.806695214,0.806695214,0.806695214
1,4,0,2,1,0.843702309,0.843702309,0.843702309,0.843702309
1,4,0,3,1,0.805516536,0.805516536,0.805516536,0.805516536
1,4,1,0,1,0.811079333,0.811079333,0.811079333,0.811079333
1,4,1,1,1,0.860310003,0.860310003,0.860310003,0.860310003
1,4,1,2,1,0.870265092,0.870265092,0.870265092,0.870265092
1,4,1,3,1,0.841741578,0.841741578,0.841741578,0.841741578
1,4,2,0,1,0.801956684,0.801956684,0.801956684,0.801956684
1,4,2,1,1,0.897058905,0.897058905,0.897058905,0.897058905
1,4,2,2,1,0.88190391,0.88190391,0.88190391,0.88190391
1,4,2,3,1,0.863610503,0.863610503,0.863610503,0.863610503
1,4,3,0,1,0.893948481,0.893948481,0.893948481,0.893948481
1,4,3,1,1,0.894525596,0.894525596,0.894525596,0.894525596
1,4,3,2,1,0.843018343,0.843018343,0.843018343,0.843018343
1,4,3,3,1,0.846184395,0.846184395,0.846184395,0.846184395
1,4,4,0,1,0.824455324,0.824455324,0.824455324,0.824455324
1,4,4,1,1,0.87769529,0.87769529,0.87769529,0.87769529
1,4,4,2,1,0.886527091,0.886527091,0.886527091,0.886527091
1,4,4,3,1,0.815764152,0.815764152,0.815764152,0.815764152
1,4,5,0,1,0.816033769,0.816033769,0.816033769,0.816033769
1,4,5,1,1,0.872339923,0.872339923,0.872339923,0.872339923
1,4,5,2,1,0.899810399,0.899810399,0.899810399,0.899810399
1,4,5,3,1,0.860676041,0.860676041,0.860676041,0.860676041
1,4,6,0,1,0.877296177,0.877296177,0.877296177,0.877296177
1,4,6,1,1,0.845805555,0.845805555,0.845805555,0.845805555
1,4,6,2,1,0.82106734,0.82106734,0.82106734,0.82106734
1,4,6,3,1,0.860359334,0.860359334,0.860359334,0.860359334
